ct,pop,no_hispanic,hispanic
01001020100,2010,1957,53
01001020200,2196,2168,28
01001020300,3136,2908,228
01001020400,4563,4157,406
01001020500,10529,10429,100
01001020600,3742,3570,172
01001020700,3047,2944,103
01001020801,3025,2909,116
01001020802,10743,10596,147
01001020900,5912,5877,35
01001021000,2899,2886,13
01001021100,3247,3232,15
01003010100,4013,4003,10
01003010200,3067,3038,29
01003010300,8079,7892,187
01003010400,4578,4312,266
01003010500,5115,5053,62
01003010600,3503,3487,16
01003010701,7938,7613,325
01003010703,17062,16223,839
01003010704,6004,5703,301
01003010705,9435,9089,346
01003010800,7686,7659,27
01003010903,5953,5684,269
01003010904,6523,6117,406
01003010905,8055,7393,662
01003010906,5272,4741,531
01003011000,3885,3604,281
01003011101,9685,9048,637
01003011102,4578,4523,55
01003011201,5023,4932,91
01003011202,6085,5906,179
01003011300,4621,4442,179
01003011401,10021,9500,521
01003011403,9933,9251,682
01003011405,4078,3961,117
01003011406,3810,3695,115
01003011407,4970,4893,77
01003011408,719,719,0
01003011501,5947,5706,241
01003011502,11575,10959,616
01003011601,6640,6100,540
01003011602,5657,5552,105
01003990000,0,0,0
01005950100,3477,3361,116
01005950200,4404,4344,60
01005950300,1657,1614,43
01005950400,3693,3517,176
01005950500,3438,3268,170
01005950600,2003,1800,203
01005950700,1959,1959,0
01005950800,2195,2121,74
01005950900,3788,3483,305
01007010001,2783,2715,68
01007010002,6562,6283,279
01007010003,4824,4824,0
01007010004,8403,8248,155
01009050101,7864,6420,1444
01009050102,7202,5902,1300
01009050200,3317,2856,461
01009050300,5025,4202,823
01009050400,4689,4472,217
01009050500,7250,6780,470
01009050601,3962,3938,24
01009050602,9550,9474,76
01009050700,8845,8624,221
01011952100,1738,1738,0
01011952200,5660,5647,13
01011952500,3154,3154,0
01013952700,2142,2142,0
01013952800,1479,1479,0
01013952900,2342,2165,177
01013953000,1489,1459,30
01013953100,2981,2981,0
01013953200,4006,3960,46
01013953300,1791,1791,0
01013953400,2754,2754,0
01013953500,1296,1296,0
01015000200,3034,3010,24
01015000300,2509,2364,145
01015000400,2711,2676,35
01015000500,1444,1358,86
01015000600,1908,1903,5
01015000700,2774,2688,86
01015000800,1166,1163,3
01015000900,3905,3887,18
01015001000,6162,5914,248
01015001100,7060,6220,840
01015001201,3209,3025,184
01015001202,4151,3800,351
01015001300,2305,2261,44
01015001400,2955,2931,24
01015001500,4665,4400,265
01015001600,3621,3263,358
01015001700,6614,6295,319
01015001800,6418,6117,301
01015002000,6988,6959,29
01015002101,3611,3587,24
01015002102,3285,3252,33
01015002103,6975,6685,290
01015002200,3442,3406,36
01015002300,3677,3547,130
01015002400,4494,4494,0
01015002501,7522,7457,65
01015002502,4467,4448,19
01015002600,4807,4787,20
01015981901,4,4,0
01015981902,0,0,0
01015981903,0,0,0
01017953800,3930,3930,0
01017953900,3045,3045,0
01017954000,6321,6275,46
01017954200,3197,3187,10
01017954300,4839,4817,22
01017954400,891,882,9
01017954500,4116,4065,51
01017954600,3057,3057,0
01017954700,4622,4612,10
01019955701,3557,3527,30
01019955702,3616,3494,122
01019955800,5298,5211,87
01019955900,4594,4566,28
01019956000,4397,4303,94
01019956100,4435,4391,44
01021060101,4718,4559,159
01021060102,6755,6317,438
01021060200,2887,2887,0
01021060300,3864,3555,309
01021060401,5712,5338,374
01021060402,8735,7010,1725
01021060500,2988,2956,32
01021060600,3148,2976,172
01021060700,5010,4878,132
01023956700,2998,2998,0
01023956800,4339,4265,74
01023956900,3767,3767,0
