ct,male,female
01001020100,995,1015
01001020200,1168,1028
01001020300,1452,1684
01001020400,2189,2374
01001020500,5007,5522
01001020600,1825,1917
01001020700,1244,1803
01001020801,1469,1556
01001020802,5381,5362
01001020900,3036,2876
01001021000,1510,1389
01001021100,1601,1646
01003010100,2148,1865
01003010200,1490,1577
01003010300,3843,4236
01003010400,2328,2250
01003010500,2607,2508
01003010600,1855,1648
01003010701,4149,3789
01003010703,8695,8367
01003010704,2839,3165
01003010705,4722,4713
01003010800,3781,3905
01003010903,3227,2726
01003010904,3090,3433
01003010905,3927,4128
01003010906,2409,2863
01003011000,2019,1866
01003011101,4400,5285
01003011102,2065,2513
01003011201,2511,2512
01003011202,2527,3558
01003011300,2060,2561
01003011401,5188,4833
01003011403,4505,5428
01003011405,2086,1992
01003011406,1781,2029
01003011407,2397,2573
01003011408,299,420
01003011501,2927,3020
01003011502,5266,6309
01003011601,3426,3214
01003011602,2804,2853
01003990000,0,0
01005950100,1655,1822
01005950200,2889,1515
01005950300,836,821
01005950400,2332,1361
01005950500,1685,1753
01005950600,965,1038
01005950700,843,1116
01005950800,1085,1110
01005950900,1949,1839
01007010001,1492,1291
01007010002,3212,3350
01007010003,2340,2484
01007010004,5040,3363
01009050101,4054,3810
01009050102,3338,3864
01009050200,1572,1745
01009050300,2523,2502
01009050400,2282,2407
01009050500,3634,3616
01009050601,2136,1826
01009050602,4375,5175
01009050700,4658,4187
01011952100,846,892
01011952200,3120,2540
01011952500,1753,1401
01013952700,923,1219
01013952800,642,837
01013952900,1192,1150
01013953000,736,753
01013953100,1323,1658
01013953200,1786,2220
01013953300,894,897
01013953400,1482,1272
01013953500,544,752
01015000200,1686,1348
01015000300,1129,1380
01015000400,1132,1579
01015000500,558,886
01015000600,943,965
01015000700,1295,1479
01015000800,476,690
01015000900,1629,2276
01015001000,2918,3244
01015001100,3131,3929
01015001201,1701,1508
01015001202,1973,2178
01015001300,1097,1208
01015001400,1574,1381
01015001500,2420,2245
01015001600,1795,1826
01015001700,3327,3287
01015001800,3033,3385
01015002000,3416,3572
01015002101,1795,1816
01015002102,1514,1771
01015002103,3226,3749
01015002200,1574,1868
01015002300,1712,1965
01015002400,2358,2136
01015002501,3616,3906
01015002502,2258,2209
01015002600,2452,2355
01015981901,4,0
01015981902,0,0
01015981903,0,0
01017953800,1713,2217
01017953900,1418,1627
01017954000,2891,3430
01017954200,1644,1553
01017954300,2406,2433
01017954400,502,389
01017954500,1883,2233
01017954600,1389,1668
01017954700,2453,2169
01019955701,1739,1818
01019955702,1832,1784
01019955800,2747,2551
01019955900,2336,2258
01019956000,2121,2276
01019956100,2108,2327
01021060101,2499,2219
01021060102,3088,3667
01021060200,1308,1579
01021060300,1902,1962
01021060401,2995,2717
01021060402,4151,4584
01021060500,1535,1453
01021060600,1608,1540
01021060700,2473,2537
01023956700,1500,1498
01023956800,1958,2381
01023956900,1780,1987
01023957000,1111,1072
01025957500,575,632
01025957601,472,614
01025957602,2470,2733
01025957700,684,872
01025957800,2232,2512
01025957901,1978,1910
01025957902,1967,2222
01025958001,545,613
01025958002,815,1001
01027958900,2478,2635
01027959000,1575,1811
01027959100,1341,1271
01027959200,1138,1234
01029959500,1412,1265
01029959600,1870,1965
01029959700,1855,1815
01029959800,2286,2523
01031010100,993,1124
01031010200,837,840
01031010300,2387,2436
01031010400,926,848
01031010500,2149,2340
01031010600,787,798
01031010700,1181,1136
01031010800,1397,1419
01031010900,1284,1096
01031011000,1668,1840
01031011100,905,1172
01031011201,4236,4591
01031011202,4271,3993
01031011300,2189,2148
01033020100,1674,1963
01033020200,1086,1141
01033020300,744,911
01033020400,758,762
01033020500,2793,2398
01033020600,1752,2285
01033020701,2769,3232
01033020703,2573,2760
01033020704,2261,2258
01033020801,2168,2212
01033020802,1740,1902
01033020901,2063,2371
01033020902,1921,1868
01033021000,1969,2043
01035960200,866,863
01035960300,824,715
01035960400,1847,1685
01035960500,799,1008
01035960600,1692,2398
01037961000,2112,1639
01037961100,1547,2011
01037961200,1696,1859
01039961600,2066,1950
01039961700,2222,2296
01039961800,1433,1688
01039961900,1072,1191
01039962000,1933,2001
01039962100,1065,995
01039962300,1470,1487
01039962400,1431,1562
01039962500,627,836
01039962600,664,910
01039962700,701,978
01039962800,886,988
01039962900,986,873
01039963000,1663,1755
01041963400,910,1019
01041963500,1094,875
01041963600,1538,1560
01041963700,1820,1913
01041963800,823,907
01041963900,678,759
01043964100,2467,3091
01043964200,3776,3560
01043964300,2321,2525
01043964400,2088,2399
01043964500,2187,2389
01043964600,1938,1957
01043964700,2750,2418
01043964800,2296,2345
01043964900,2743,3434
