ct,pop
01001020100,2010
01001020200,2196
01001020300,3136
01001020400,4563
01001020500,10529
01001020600,3742
01001020700,3047
01001020801,3025
01001020802,10743
01001020900,5912
01001021000,2899
01001021100,3247
01003010100,4013
01003010200,3067
01003010300,8079
01003010400,4578
01003010500,5115
01003010600,3503
01003010701,7938
01003010703,17062
01003010704,6004
01003010705,9435
01003010800,7686
01003010903,5953
01003010904,6523
01003010905,8055
01003010906,5272
01003011000,3885
01003011101,9685
01003011102,4578
01003011201,5023
01003011202,6085
01003011300,4621
01003011401,10021
01003011403,9933
01003011405,4078
01003011406,3810
01003011407,4970
01003011408,719
01003011501,5947
01003011502,11575
01003011601,6640
01003011602,5657
01003990000,0
01005950100,3477
01005950200,4404
01005950300,1657
01005950400,3693
01005950500,3438
01005950600,2003
01005950700,1959
01005950800,2195
01005950900,3788
01007010001,2783
01007010002,6562
01007010003,4824
01007010004,8403
01009050101,7864
01009050102,7202
01009050200,3317
01009050300,5025
01009050400,4689
01009050500,7250
01009050601,3962
01009050602,9550
01009050700,8845
01011952100,1738
01011952200,5660
01011952500,3154
01013952700,2142
01013952800,1479
01013952900,2342
01013953000,1489
01013953100,2981
01013953200,4006
01013953300,1791
01013953400,2754
01013953500,1296
01015000200,3034
01015000300,2509
01015000400,2711
01015000500,1444
01015000600,1908
01015000700,2774
01015000800,1166
01015000900,3905
01015001000,6162
01015001100,7060
01015001201,3209
01015001202,4151
01015001300,2305
01015001400,2955
01015001500,4665
01015001600,3621
01015001700,6614
01015001800,6418
01015002000,6988
01015002101,3611
01015002102,3285
01015002103,6975
01015002200,3442
01015002300,3677
01015002400,4494
01015002501,7522
01015002502,4467
01015002600,4807
01015981901,4
01015981902,0
01015981903,0
01017953800,3930
01017953900,3045
01017954000,6321
01017954200,3197
01017954300,4839
01017954400,891
01017954500,4116
01017954600,3057
01017954700,4622
01019955701,3557
01019955702,3616
01019955800,5298
01019955900,4594
01019956000,4397
01019956100,4435
01021060101,4718
01021060102,6755
01021060200,2887
01021060300,3864
01021060401,5712
01021060402,8735
01021060500,2988
01021060600,3148
01021060700,5010
01023956700,2998
01023956800,4339
01023956900,3767
01023957000,2183
01025957500,1207
01025957601,1086
01025957602,5203
01025957700,1556
01025957800,4744
01025957901,3888
01025957902,4189
01025958001,1158
01025958002,1816
01027958900,5113
01027959000,3386
01027959100,2612
01027959200,2372
01029959500,2677
01029959600,3835
01029959700,3670
01029959800,4809
01031010100,2117
01031010200,1677
01031010300,4823
01031010400,1774
01031010500,4489
01031010600,1585
01031010700,2317
01031010800,2816
01031010900,2380
01031011000,3508
01031011100,2077
01031011201,8827
01031011202,8264
01031011300,4337
01033020100,3637
01033020200,2227
01033020300,1655
01033020400,1520
01033020500,5191
01033020600,4037
01033020701,6001
01033020703,5333
01033020704,4519
01033020801,4380
01033020802,3642
01033020901,4434
01033020902,3789
01033021000,4012
01035960200,1729
01035960300,1539
01035960400,3532
01035960500,1807
01035960600,4090
01037961000,3751
01037961100,3558
01037961200,3555
01039961600,4016
01039961700,4518
01039961800,3121
01039961900,2263
01039962000,3934
01039962100,2060
01039962300,2957
01039962400,2993
01039962500,1463
01039962600,1574
01039962700,1679
01039962800,1874
01039962900,1859
01039963000,3418
01041963400,1929
01041963500,1969
01041963600,3098
01041963700,3733
01041963800,1730
01041963900,1437
01043964100,5558
01043964200,7336
01043964300,4846
01043964400,4487
01043964500,4576
01043964600,3895
01043964700,5168
01043964800,4641
01043964900,6177
01043965000,6018
01043965100,3661
01043965200,2549
01043965300,4569
01043965401,3055
01043965402,3995
01043965500,5681
01043965600,2282
01043965700,2822
01045020000,4681
01045020100,3615
01045020200,2293
01045020300,2321
01045020400,2275
01045020500,2033
01045020700,3106
01045020801,3378
01045020802,4406
01045021101,5191
01045021102,4343
01045021200,2529
01045021300,4033
01045021400,5403
01047956100,6321
01047956201,2862
01047956202,1928
01047956300,4020
01047956400,3419
01047956500,3267
01047956600,2772
01047956701,2033
01047956702,1495
01047956800,2724
01047956900,2310
01047957000,1320
01047957100,1520
01047957200,1395
01047957300,4040
01049960100,5994
01049960200,3290
01049960300,7253
01049960400,6005
01049960500,5317
01049960600,6395
01049960700,8670
01049960800,4920
01049960900,3679
01049961000,3938
01049961100,3265
01049961200,2331
01049961300,5624
01049961400,4256
01051030100,9361
01051030200,4616
01051030300,2587
01051030400,6991
01051030500,4564
01051030600,6909
01051030701,7202
01051030702,4305
01051030800,6745
01051030901,6212
01051030902,3936
01051031000,7373
01051031100,4319
01051031200,1836
01051031300,4001
01053969800,5817
01053969900,4502
01053970100,4120
01053970200,1967
01053970300,3468
01053970400,5254
01053970500,5190
01053970600,3763
01053970700,3794
01055000200,3668
01055000300,2667
01055000400,4174
01055000500,1725
01055000600,1954
01055000700,1085
01055000800,1222
01055000900,2908
01055001000,1606
01055001100,4927
01055001200,3013
01055001300,2232
01055001600,3843
01055001700,1726
01055010100,2115
01055010200,5106
01055010300,2678
01055010401,3507
01055010402,5264
01055010501,8235
01055010502,5255
01055010601,5032
01055010602,3875
01055010700,3880
01055010800,2884
01055010900,1658
01055011001,4615
01055011002,5101
01055011100,5070
01055011200,2338
01057020000,1719
01057020100,3322
01057020200,4187
01057020300,3832
01057020400,3723
01059972900,3616
01059973000,5811
01059973100,2560
01059973200,4423
01059973300,2624
01059973400,2518
01059973500,2266
01059973600,1648
01059973700,6107
01061050100,4803
01061050200,2479
01061050300,5861
01061050400,5680
01061050500,4039
01061050600,3903
01063060000,1472
01063060100,3761
01063060200,3354
01065040000,3728
01065040100,1377
01065040200,1629
01065040300,2056
01065040400,4854
01065040500,1515
01067030100,1894
01067030200,2901
01067030300,2612
01067030400,1856
01067030500,6396
01067030600,1528
01069040100,5388
01069040201,9948
01069040202,8726
01069040301,3846
01069040302,3705
01069040400,2587
01069040500,3600
01069040600,2228
01069040700,2807
01069040800,8664
01069040900,5066
01069041000,5154
01069041100,3718
01069041200,2321
01069041400,3185
01069041500,4077
01069041600,5145
01069041700,1228
01069041800,1949
01069041900,7496
01069042000,5859
01069042100,7194
01071950100,5666
01071950200,3413
01071950300,5783
01071950400,1985
01071950500,3854
01071950600,5648
01071950700,4443
01071950800,4405
01071950900,5886
01071951000,4576
01071951100,6949
01073000100,3111
01073000300,2333
01073000400,3540
01073000500,2966
01073000700,2724
01073000800,3338
01073001100,4428
01073001200,2762
01073001400,2152
01073001500,2540
01073001600,3212
01073001902,1856
01073002000,3498
01073002100,2945
01073002200,2632
01073002303,3764
01073002305,3091
01073002306,3713
01073002400,3975
01073002700,3749
01073002900,2144
01073003001,3099
01073003002,2478
01073003100,3997
01073003200,1285
01073003300,745
01073003400,2356
01073003500,2440
01073003600,4406
01073003700,4887
01073003802,5344
01073003803,3558
01073003900,1447
01073004000,3087
01073004200,2066
01073004500,4887
01073004701,3981
01073004702,3580
01073004800,2006
01073004901,1136
01073004902,3181
01073005000,3378
01073005101,2089
01073005103,2828
01073005104,4180
01073005200,3374
01073005302,3350
01073005500,2303
01073005600,4788
01073005701,2445
01073005702,2706
01073005800,3739
01073005903,5093
01073005905,5457
01073005907,2254
01073005908,3829
01073005909,2695
01073005910,5870
01073010001,4632
01073010002,4981
01073010100,1504
01073010200,2895
01073010301,2409
01073010302,4289
01073010401,3638
01073010402,2135
01073010500,1537
01073010602,5886
01073010603,2603
01073010701,1633
01073010702,4663
01073010703,2353
01073010704,4790
01073010705,4190
01073010706,5227
01073010801,5947
01073010802,3440
01073010803,6426
01073010804,2983
01073010805,7008
01073010900,4909
01073011001,5422
01073011002,2226
01073011104,7722
01073011107,10895
01073011108,4645
01073011109,3713
01073011110,5997
01073011111,7774
01073011205,1927
01073011206,5526
01073011207,5645
01073011208,3884
01073011209,3690
01073011210,4371
01073011301,3178
01073011302,6237
01073011400,6811
01073011500,5388
01073011600,3951
01073011703,9630
01073011704,3450
01073011705,7445
01073011706,2211
